time,accx,accy,accz,gyrx,gyry,gyrz
12:39:14.536,0.01,-0.05,-0.97,1.44,-0.11,1.31
12:39:14.540,0.01,-0.05,-0.97,1.31,-0.11,1.31
12:39:14.542,0.01,-0.05,-0.97,1.31,-0.13,1.31
12:39:14.549,0.01,-0.05,-0.97,1.31,-0.13,1.15
12:39:15.560,0.00,-0.05,-0.97,1.31,-0.13,1.15
12:39:15.604,0.00,-0.05,-0.97,1.31,-0.13,1.15
12:39:15.611,0.00,-0.05,-0.98,1.31,-0.13,1.15
12:39:15.616,0.00,-0.05,-0.98,1.60,-0.13,1.15
12:39:15.620,0.00,-0.05,-0.98,1.60,-0.19,1.15
12:39:15.622,0.00,-0.05,-0.98,1.60,-0.19,1.02
12:39:16.590,0.01,-0.05,-0.98,1.60,-0.19,1.02
12:39:16.639,0.01,-0.06,-0.98,1.60,-0.19,1.02
12:39:16.646,0.01,-0.06,-0.98,1.60,-0.19,1.02
12:39:16.649,0.01,-0.06,-0.98,1.40,-0.19,1.02
12:39:16.652,0.01,-0.06,-0.98,1.40,-0.15,1.02
12:39:16.655,0.01,-0.06,-0.98,1.40,-0.15,1.13
12:39:17.617,0.01,-0.06,-0.98,1.40,-0.15,1.13
12:39:17.668,0.01,-0.06,-0.98,1.40,-0.15,1.13
12:39:17.674,0.01,-0.06,-0.98,1.40,-0.15,1.13
12:39:17.681,0.01,-0.06,-0.98,1.43,-0.15,1.13
12:39:17.686,0.01,-0.06,-0.98,1.43,-0.04,1.13
12:39:17.689,0.01,-0.06,-0.98,1.43,-0.04,1.11
12:39:18.653,0.00,-0.06,-0.98,1.43,-0.04,1.11
12:39:18.702,0.00,-0.05,-0.98,1.43,-0.04,1.11
12:39:18.709,0.00,-0.05,-0.97,1.43,-0.04,1.11
12:39:18.716,0.00,-0.05,-0.97,1.40,-0.04,1.11
12:39:18.720,0.00,-0.05,-0.97,1.40,-0.57,1.11
12:39:18.723,0.00,-0.05,-0.97,1.40,-0.57,1.31
12:39:19.693,0.01,-0.05,-0.97,1.40,-0.57,1.31
12:39:19.737,0.01,-0.05,-0.97,1.40,-0.57,1.31
12:39:19.744,0.01,-0.05,-0.97,1.40,-0.57,1.31
12:39:19.753,0.01,-0.05,-0.97,1.14,-0.57,1.31
12:39:19.756,0.01,-0.05,-0.97,1.14,-0.15,1.31
12:39:19.759,0.01,-0.05,-0.97,1.14,-0.15,0.74
12:39:20.724,0.01,-0.05,-0.97,1.14,-0.15,0.74
12:39:20.783,0.01,-0.06,-0.97,1.14,-0.15,0.74
12:39:20.786,0.01,-0.06,-0.98,1.14,-0.15,0.74
12:39:20.789,0.01,-0.06,-0.98,1.61,-0.15,0.74
12:39:20.793,0.01,-0.06,-0.98,1.61,-0.44,0.74
12:39:20.798,0.01,-0.06,-0.98,1.61,-0.44,1.26
12:39:21.769,0.01,-0.06,-0.98,1.61,-0.44,1.26
